0	40138	-1	1248066120	0	gowers	0. I'd just like to chip in here and say that solving an already solved problem in an open collaborative way is a great idea, as it is basically guaranteed to give us useful data about how such projects can work. I have not yet thought seriously about the problem myself, but I had a few preliminary thoughts offline before you suggested this, so I propose to wait for others to post similar thoughts before I make any comments.	???
1	40139	-1	1248066840	1	Cristina	1. Having seen the problem for the first time few minutes ago, the first reaction I have is to try some kind of variation on reductio ad absurdum. (I hope this kind of comment is in the spirit of the original idea -- I apologise in advance if I've stepped over the boundary of the experiment's rules) \emph{[This is definitely in the spirit of the experiment - T.]}	perf[suggest]( meta[strategy]( problem, raa ) )\newline rel[structural](problem,M)\newline rel[structural](problem, “{a_i}_i”)\newline rel[structural](“{a_i}_i”, n)\newline rel[structural](M,n)
2	40140	-1	1248068940	2	David Speyer	2. Two vague thoughts: (1) Let $C_n$ be the edge graph of the unit $n$ -cube: so $C_n$ has $2^n$ vertices and $n*2^{n-1}$ edges. There is an obvious map $p$ from the vertices of $C_n$ to the integers, sending the vertex $(i_1, i_2, ..., i_n)$ to the point $\sum i_j a_j$ . We would like to show that $p^{-1}(M)$ cannot disconnect $C_n$ . Is there some classification of sets that disconnect $C_n$ ? Is there some measure of size (probably not simple cardinality) in which $p^{-1}(M)$ is too small to disconnect? (2) I'd like to induct on $n$ . I tried to set it up a few times and failed, but maybe someone else can do better.	perf[define]( C_n )\newline perf[define]( p )\newline rel[structural](C_n, n)\newline rel[structural](p, C_n)\newline rel[structural](p, “{a_i}_i”)\newline \newline perf[suggest]( meta[goal]( inv_disc_M ) )\newline rel[structural](inv_disc_M, M)\newline rel[structural](inv_disc_M, p)\newline rel[structural](inv_disc_M, C_n)\newline \newline perf[queryE](X, inv_disc( X ) )\newline \newline perf[queryE](Y, notion_too_small(Y) )\newline \newline perf[suggest](meta[strategy]( inv_disc_M , induction_n ) )\newline rel[structural](induction_n, n)\newline \newline ???
3	40141	-1	1248069000	-1	Haim	\sout{2} 3. The following reformulation of the problem may be useful: Show that for any permutation s in Sn, the sum $a_s(1)+a_s(2)\ldots +a_s(j)$ is not in M for any $j\leq n$. Now, we may use the fact that Sn is ''quite large'' and prove the existence of such permutation with some kind of a pigeonhole-ish principle.	perf[assert](rel[equivalent](problem, perm_view)))\newline rel[structural](perm_view, Sn)\newline rel[structural](perm_view, M)\newline rel[structural](perm_view, “\{a_i\}_i”) \newline rel[structural](Sn,n)\newline \newline perf[suggest](meta[goal](perm_view))\newline \newline sn_large = perf[assert](rel[has_property](S_n, large))\newline \newline perf[suggest](meta[auxiliary](meta[strategy](perm_view, pigeonhole), sn_large))
4	40142	-1	1248069060	-1	Michael Lugo	\sout{2} 4. If n = 2, the problem reduces to: let $a_1$, $a_2$ be distinct positive integers, and let $m$ be a positive integer which is not $s = a_1 + a_2$.  A grasshopper is to jump along the real axis, starting at the point $0$ and making two jumps $a_1$, $a_2$.  Prove that the order can be chosen in such a way that the grasshopper never lands on m. In this case, the desired result is obvious; the sequence of points landed on is either $(a_1, a_1 + a_2)$ or $(a_2, a_1 + a_2)$.  If m is not a_1 or a_2 we can pick either sequence; if m is one of those we pick the other one. This could be the base case for some induction on n.	perf[assert]( problem_for_two )\newline perf[assert]( rel[instance_of]( problem, problem_for_two ) )\newline perf[apply]( meta[strategy]( problem, induction_n ) )\newline rel[instantiate](n,2)\newline rel[structural](problem_for_two, 2)
5	40143	-1	1248069060	-1	Haim	\sout{2} 5. The following reformulation of the problem may be useful: Show that for any permutation s in Sn, the sum a_s(1)+a_s(2)\ldots +a_s(j) is not in M for any j=<n. Now, we may use the fact that Sn is ''quite large'' and prove the existence of such permutation with some kind of a pigeonhole-ish principle	repeated comment
6	40144	-1	1248069360	6	Michael Lugo	6. This is an administrative comment: there are now four comments numbered ``2''.  Is it possible to clean this up? \emph{[Now doing so - T.]} (Incidentally, I know I've seen blogs -- and I'm pretty sure they were WordPress blogs -- that automatically numbered the comments.  I'm not sure how to activate this, but it might be useful for this post and others in the ``polymath'' vein.)	???
7	40145	-1	1248069420	7	Nate	7. Well, my first thought is to see if the hypotheses seem reasonable. The hypothesis that $s= a_1 + \ldots  + a_n$ not lie in M is certainly necessary, as the last jump that the grasshopper takes will land on s.  The grasshopper's other steps will land on a partial sums $a_{\sigma(1)} + \ldots  + a_{\sigma(k)}$ for some permutation $\sigma$, but we get to choose the permutation.  Thus it seems plausible that we can avoid a given set of n-1 points.	perf[assert]( rel[equiv]( problem, perm_view2 )\newline perf[assert]( judge[plausible]( perm_view2 ) )\newline rel[structural](perm_view2, Sn)\newline rel[structural](perm_view2, M)\newline rel[structural](perm_view2, “{a_i}_i”) 
8	40146	-1	1248069540	-1	Thomas	\sout{2} 8. Quick observation. The grasshopper must make a first step. This is always possible, since the a_i are distinct and |M|=n-1; that is, there is always an a_i not in M. However, let's say M matches all but one of the a_i. Then the first step is uniquely determined. Still, according to the claimed theorem, a second step must still be possible.	perf[assert]( first_step_exists )\newline rel[structural](first_step_exists, “{a_i}_i”)\newline \newline perf[assert]( rel[instance_of]( problem, all_but_one ) )\newline perf[assert]( rel[has_property](all_but_one, first_step_unique ) )\newline perf[query]( rel[has_property](all_but_one, second_step ) )\newline rel[structural](all_but_one, M)\newline rel[structural](all_but_one, “{a_i}_i”)
9	40147	-1	1248069600	-1	Haim	\sout{3} 9. Following ( \sout{2} 3); For any x in M, there are two possibilities: 1. x can't be represented as a sum of (distinct) ai's. 2. x=a_j1+a_j2\ldots +a_jk. In this case, we may assign x the set {j1, j2\ldots jk} So M can actually be regarded as a subset of P({1, 2\ldots n})	perf[assert](rel[equivalent]( problem, powerset_view ) )
10	40148	-1	1248069660	-1	Dave	\sout{1} 10. Addressing Michael Lugo: I think he means number just your own comments, and then address a (person,number) pair. \emph{[Actually, I was proposing a global numbering system; I'll try to fix it up now.  But the (author, number) pair approach would also have worked, except perhaps for anonymous comments. -T]} Addressing Haim( \sout{2} 5): That's pretty strong; all you need is that there exists a permutation where that is true. And it doesn't work; there are numbers $a_1,a_2,\ldots,a_n$ and sets $M$ of $n-1$ points such that, for instance, $a_1 \in M$. Then any permutation starting with $a_1$ would not satisfy your conjecture for $j=1$. But, just looking for *one* permutation that satisfies $a_s(1)+a_s(2)\ldots +a_s(j) \not \in M$ for any $j \leq n$ (which is basically the statement of the theorem), could lend itself well to induction. In other words, use the fact that for every subset $M' \subset M$ of size $j$ not containing $a_s(1)+a_s(2)\ldots +a_s(j)$, there is a way to permute those $j$ numbers to avoid $M'$.	perf[challenge]( perm_view , a1_ex)\newline rel[instantiate](a_1, “a_1”)\newline rel[structural](a1_ex, “a_1”)\newline rel[structural](“{a_i}_i”, a_1)\newline \newline perf[suggest](meta[goal](perm_view_mod)) \newline rel[structural](perm_view_mod,Sn)\newline rel[structural](perm_view_mod,M)\newline rel[structural](perm_view_mod, “{a_i}_i”)\newline \newline perf[suggest](meta[strategy](perm_view_mod, strong_induction_n))\newline rel[structural](strong_induction_n, n)
11	40149	-1	1248069720	-1	Anonymous	\sout{2} 11. The scorings of this problem accroding to the offical result are: Score    Number of Particpants 0           540 1           2 2           1 3           10 4           6 5           2 6           1 7           3 A score of 1-6 represents partial credit.	???
12	40150	-1	1248070200	12	Haim	12. Addressing Dave: Sorry, indeed I meant: ``Show that for *one* permutation\ldots ''	perf[retract](perm_view)\newline perf[agree](perm_view_mod )
13	40151	-1	1248070680	-1	David Speyer	\sout{2} 13. Regarding Haim( \sout{3} 9) Unfortunately, the same integer may occur as the sum of many different subsets of M. For example, if M = {1,2,3}, do you assign the integer 3 to {3} or to {1,2}?	perf[challenge]( not_welldef, rel[equivalent]( problem, powerset_view ) )\newline rel[structural](not_welldef, M)\newline rel[structural](not_welldef, “{a_i}_i”)
14	40153	-1	1248071640	14	neal	14. can M really be regarded as a subset of P when P({1,2,\ldots ,n}) since M is a set of n-1 positive integers not containing s, and not necessarily the set of {1,2,\ldots ,(n-1)}	perf[challenge]( def_of_M, rel[equivalent]( problem, powerset_view ) )\newline rel[structural](def_of_M, M)
