1	Richard McCart	August 22, 2011 @ 3:52 am	Could you start off with a random point in the plane and prove it doesn't work, if you can't prove that then the opposite holds.	rel[structural](problem, S)\newline rel[structural](problem, P)\newline rel[structural](problem, l)\newline rel[structural](problem, windmill)\newline rel[structural](problem, pivot)\newline rel[structural](P, pivot)\newline rel[structural](P, windmill)\newline rel[structural](l, windmill)\newline perf[query](random_test_false)\newline perf[assert](rel[stronger](rel[not](prove_rtf), rel[not](random_test_false)))\newline rel[structural](random_test_false, prove_rtf)	Conjecture
2	Gal	July 19, 2011 @ 8:07 pm	Connecting the dots: At the point where the pivot changes we create a line that passes through the previous pivot and a new pivot -- like a side of a polygon.	perf[define](pivot_seq, ps_def)\newline rel[structural](pivot_seq, pivot)	Concept
2.1	Garf	July 19, 2011 @ 8:23 pm	Nice. We need only to consider the times when to points are connected -- this gives us a path, and after some time this path will come back to some already visited point. So there is a cycle. If only we could find a cycle which spans all the points, the question is solved\ldots That may be some useful simplification.	perf[assert](rel[has_property](pivot_seq, has_cycle))\newline perf[suggest](meta[goal](cycle_spans_S))\newline perf[judge](value[useful](pivot_seq))\newline rel[structural](S, cycle_spans_S)	Conjecture
2.1.1	Gal	July 19, 2011 @ 8:37 pm	Isn't there always a cycle that spans all the points? The problem imposes restrictions on the cycles we can choose, right?	perf[assert](not_any_cycle)	Conjecture
2.1.1.1	Gal	July 19, 2011 @ 8:56 pm	For example, the restriction on how the next pivot is chosen (geometrically: comment 9). Are there any other restrictions? Can we start with a complete graph and all cycles on that graph and just discard the ones that don't follow the restrictions to converge on the ones that do?	queryE(additional_condition_on cycles(X))\newline perf[suggest](meta[strategy](cycle_spans_S, process_of_elim))\newline rel[structural](process_of_elim, additional_conditions_on cycles)\newline ???	Concept
2.1.1.1.1	CLH	July 19, 2011 @ 9:31 pm	The line must sweep out a full rotation (and only one full rotation) of $2\pi$ during the traversal of $S$. I feel like this is intimately related to proving that there is a starting angle for any point $P$ in $S$ such that all of $S$ is then traversed. I'm trying to show this by induction. 	perf[assert](one_turn)\newline perf[judge](value[useful](one_turn))\newline perf[suggest](meta[strategy](problem, induction))\newline rel[structural](one_turn, windmill)\newline rel[structural](one_turn, line)\newline rel[structural](one_turn, S)\newline rel[structural](S, n)\newline rel[structural](induction, n)\newline rel[structural](induction, BC)\newline rel[structural](induction, IH)	Proof
---	CLH	July 19, 2011 @ 9:31 pm	Base case ($|S|=2$) is obvious.	perf[assert](BC)	Proof
---	CLH	July 19, 2011 @ 9:31 pm	 Let $|S| = n$, take $S' = S \cup \{Q\}$, and start with some windmill traversal of $S$.	perf[assert](rel[case_split](IS, IS_A, IS_B))	Proof
---	CLH	July 19, 2011 @ 9:31 pm	Case A: $Q$ is unreachable. Therefore we just traverse $S$, taking $2\pi$ to do so by induction.	perf[assert](IS_A, IS_A_proof)	Proof
---	CLH	July 19, 2011 @ 9:31 pm	Case B: $Q$ is reachable at some angle $\Omega_0$ from $P_0$ in $S$	perf[assert](rel[case_split](IS_B, IS_B1, IS_B2))	Proof
---	CLH	July 19, 2011 @ 9:31 pm	-- Case 1: the next point to be reached is the same as before (e.g. $S_k \rightarrow Q \rightarrow S_{k+1} \rightarrow S_{k+2}$ instead of $S_k \rightarrow S_{k+1} \rightarrow S_{k+2}$). Previously, the radians traversed by the line for this transition was $A_1 + A_2$. Now it's $(A1-\Omega_0) + \Omega_0 + \Omega_1 + (A_2 -- \Omega_1) = A1+A2$. Then we proceed through $S$, taking the remainder of $2\pi$ remaining.	perf[assert](IS_B1, IS_B1_proof)	Proof
---	CLH	July 19, 2011 @ 9:31 pm	-- Case 2: We go through $Q$ again. This is effectively the same thing, but now you segment the angle few more times: $(A_1 - \Omega_0) + \Omega_0 + \Omega_1 + \Omega_2 + \ldots + (A_2 - \Omega1 - \Omega2 - \ldots)$	perf[assert](IS_B2, IS_B2_proof)	Proof
---	CLH	July 19, 2011 @ 9:31 pm	-- Case 3: We go to a different point in $S$ (having trouble here)	???	Proof
2.2	Anonymous	July 19, 2011 @ 8:28 pm	Or like an edge of a graph, and each edge leads to another edge. We want to show that there's a circuit that visits every vertex at least once. Ideas?	perf[define](pivot_seq, ps_def)\newline perf[suggest](meta[goal](cycle_spans_S))	Concept
2.2.1	Garf	July 19, 2011 @ 8:37 pm	Is it me, or you can get a partition of the set of directed edges on this graph into admissible cycles (i.e., cycles generated by the windmill process) ? You juste have to reverse the time if necessary\ldots	perf[assert](cycle_partition, rev_time_pf)\newline rel[structural](cycle_partition, windmill)	Conjecture
2.2.1.1	Austin	July 19, 2011 @ 8:43 pm	I believe this is true. It proves that it's enough to find a cycle that visits each vertex at least once.   there are no ``rho'' processes with an initial segment that doesn't repeat.	perf[agree](cycle_partition)\newline perf[assert](rel[equivalent](problem, forall_exists_problem), cycle_partition)	Conjecture
3	Anonymous	July 19, 2011 @ 8:08 pm	If the points form a convex polygon, it is easy.	perf[judge](value[easy](S_is_conv))	Examples
3.1	Thomas H	July 19, 2011 @ 8:09 pm	Yes. Can we do it if there is a single point not on the convex hull of the points?	perf[agree](S_is_conv)\newline perf[query](rel[has_property](convex_plus_point, cycle_spans_S)\newline rel[instance_ofl](S, convex_plus_point)	Examples
3.1.1	Jerzy	July 19, 2011 @ 8:17 pm	Say there are four points: an equilateral triangle, and then one point in the center of the triangle. No three points are collinear. It seems to me that the windmill can not use the center point more than once! As soon as it hits one of the corner points, it will cycle indefinitely through the corners and never return to the center point. I must be missing something here\ldots	perf[assert](rel[instance_of](convex_plus_point, equi_tri))\newline perf[assert](rel[instance_of](S, equi_tri))\newline perf[assert](rel[has_property](equi_tri, not_colin))\newline perf[challenge](problem, equi_tri_stuck)\newline rel[structural](equi_tri, equi_tri_stuck)\newline perf[judge](rel[not](value[plausible](equi_tri_stuck)))	Concept
3.1.1.1	Joe	July 19, 2011 @ 8:21 pm	This isn't true -- it will alternate between the centre and each vertex of the triangle.	perf[challenge](equi_tri_stuck, alternate)	Concept
3.1.1.2	Thomas H	July 19, 2011 @ 8:21 pm	No, you're not right. Let the corner points be A, B, C, clockwise, M the center. If you start in M, you first hit say A, then C, then M, then B, then A.	perf[challenge](equi_tri_stuck, alternate1)	Proof
3.1.1.2.1	Jerzy	July 19, 2011 @ 8:31 pm	Ohhh\ldots I misunderstood the problem. I saw it as a half-line extending out from the last point, in which case you would get stuck on the convex hull. But apparently it means a full line, so that the next point can be ``behind'' the previous point. Got it.	perf[retract](perf[challenge](problem, equi_tri_stuck))\newline perf[assert](rel[not](half_line))\newline rel[structural](line, half_line)	Concept
3.1.1.2.1.1	Dan Hagon	July 19, 2011 @ 8:44 pm	Yeah, so it's an infinite line extending in both directions and not just a ray. I'm thinking spirograph rather than convex hull.	perf[agree](rel[not](half-line))\newline perf[suggest](meta[strategy](problem, spirograph))	Concept
3.1.1.2.1.1.1	Manjunath Mc	July 20, 2011 @ 6:09 am	Yeah, Spirograph seems to be worth a try\ldots	perf[judge](value[useful](meta[strategy](problem, spirograph)))	Concept
